time,FR,ES,PT,GB,IT
2000-12-18,0.221495,0.338355,0.637507,0.213805,0.199564
2000-12-19,0.190840,0.359879,0.773070,0.520560,0.077095
2000-12-20,0.308561,0.268206,0.239759,0.468896,0.097354
2000-12-21,0.294954,0.487142,0.870742,0.246290,0.211764
2000-12-22,0.367283,0.657896,0.457409,0.155841,0.306056
2000-12-23,0.341056,0.363399,0.482916,0.119614,0.162246
2000-12-24,0.250644,0.478464,0.303767,0.425590,0.271748
2000-12-25,0.206771,0.547489,0.602729,0.477144,0.549065
2000-12-26,0.235895,0.587170,0.521348,0.246622,0.552869
2000-12-27,0.225435,0.662973,0.657144,0.155968,0.658580
2000-12-28,0.227598,0.722703,0.735410,0.189849,0.570429
2000-12-29,0.213477,0.659342,0.650676,0.342324,0.458849
2000-12-30,0.246262,0.696563,0.585827,0.313522,0.439271
2000-12-31,0.360547,0.443734,0.597420,0.597146,0.512196
